Algorithms,meanWinnerRank,rateTrueWinners,rateWinner<NULL
"MyVoteSys <α=0.50, β=0.33, γ=0.66, MaxEntropy>",1.276,0.796,0.0
"MyVoteSys <α=0.50, β=0.33, γ=0.66, Last>",1.2773333333333334,0.796,0.0
"MyVoteSys <α=0.50, β=____, γ=0.66, MaxEntropy>",1.2786666666666666,0.796,0.0
"MyVoteSys <α=0.66, β=____, γ=0.80, MinEntropy>",1.28,0.796,0.0
"MyVoteSys <α=0.50, β=____, γ=0.66, Last>",1.28,0.796,0.0
"MyVoteSys <α=0.66, β=____, γ=____, First>",1.28,0.796,0.0
"MyVoteSys <α=0.66, β=____, γ=0.80, First>",1.28,0.796,0.0
"MyVoteSys <α=0.66, β=____, γ=____, MinEntropy>",1.28,0.796,0.0
"MyVoteSys <α=0.50, β=____, γ=0.66, MinVariance>",1.2826666666666666,0.792,0.0
"MyVoteSys <α=0.50, β=0.33, γ=0.66, MinVariance>",1.2826666666666666,0.792,0.0
"MyVoteSys <α=0.50, β=0.33, γ=0.80, MaxStDev>",1.292,0.7866666666666666,0.0
"MyVoteSys <α=0.50, β=0.33, γ=0.80, MaxVariance>",1.292,0.7866666666666666,0.0
"MyVoteSys <α=0.50, β=0.33, γ=____, MaxVariance>",1.292,0.7866666666666666,0.0
"MyVoteSys <α=0.50, β=0.33, γ=____, MaxStDev>",1.292,0.7866666666666666,0.0
"MyVoteSys <α=0.50, β=0.33, γ=0.66, MaxStDev>",1.2933333333333332,0.7853333333333333,0.0
"MyVoteSys <α=0.50, β=0.33, γ=0.66, MaxVariance>",1.2933333333333332,0.7853333333333333,0.0
"MyVoteSys <α=0.50, β=____, γ=0.66, MaxStDev>",1.2973333333333332,0.7853333333333333,0.0
"MyVoteSys <α=0.50, β=____, γ=0.66, MaxVariance>",1.2973333333333332,0.7853333333333333,0.0
"MyVoteSys <α=0.50, β=0.33, γ=0.80, First>",1.3,0.78,0.0
"MyVoteSys <α=0.50, β=____, γ=0.66, First>",1.3,0.78,0.0
"MyVoteSys <α=0.50, β=0.33, γ=0.66, First>",1.3,0.78,0.0
"MyVoteSys <α=0.50, β=____, γ=0.80, First>",1.3,0.78,0.0
"MyVoteSys <α=0.50, β=____, γ=____, First>",1.3,0.78,0.0
"MyVoteSys <α=0.50, β=0.33, γ=____, First>",1.3,0.78,0.0
"MyVoteSys <α=0.50, β=____, γ=0.80, MaxStDev>",1.3013333333333332,0.7893333333333333,0.0
"MyVoteSys <α=0.50, β=____, γ=0.80, MaxVariance>",1.3013333333333332,0.7893333333333333,0.0
"MyVoteSys <α=0.50, β=0.33, γ=0.66, MinEntropy>",1.3013333333333332,0.78,0.0
"MyVoteSys <α=0.50, β=____, γ=0.80, MinEntropy>",1.3013333333333332,0.78,0.0
"MyVoteSys <α=0.50, β=0.33, γ=____, MinEntropy>",1.3013333333333332,0.78,0.0
"MyVoteSys <α=0.50, β=____, γ=0.66, MinEntropy>",1.3013333333333332,0.78,0.0
"MyVoteSys <α=0.50, β=____, γ=____, MinEntropy>",1.3013333333333332,0.78,0.0
"MyVoteSys <α=0.50, β=0.33, γ=0.80, MinEntropy>",1.3013333333333332,0.78,0.0
"MyVoteSys <α=0.50, β=0.33, γ=0.80, MinVariance>",1.34,0.76,0.0
"MyVoteSys <α=0.50, β=0.33, γ=0.80, MaxEntropy>",1.3453333333333333,0.7626666666666667,0.0
"MyVoteSys <α=0.50, β=0.33, γ=0.80, Last>",1.3453333333333333,0.7626666666666667,0.0
"MyVoteSys <α=0.50, β=0.33, γ=____, MinVariance>",1.3466666666666667,0.756,0.0
"MyVoteSys <α=0.66, β=____, γ=0.80, MaxVariance>",1.3506666666666667,0.7773333333333333,0.0
"MyVoteSys <α=0.66, β=____, γ=0.80, MaxStDev>",1.3506666666666667,0.7773333333333333,0.0
"MyVoteSys <α=0.50, β=0.33, γ=____, Last>",1.356,0.752,0.0
"MyVoteSys <α=0.50, β=0.33, γ=____, MaxEntropy>",1.356,0.752,0.0
MaxStandardDeviationWeightedSumWins<α=0>,1.364,0.7626666666666667,0.0
MaxVarianceWeightedSumWins<α=0>,1.3666666666666667,0.7626666666666667,0.0
"MyVoteSys <α=0.50, β=____, γ=0.80, MinVariance>",1.4106666666666667,0.7493333333333333,0.0
MaxVarianceWeightedSumWins<α=0.5>,1.412,0.7533333333333333,0.0
"MyVoteSys <α=0.66, β=0.33, γ=____, First>",1.4333333333333333,0.78,0.0
"MyVoteSys <α=0.66, β=0.33, γ=0.80, MinEntropy>",1.4333333333333333,0.78,0.0
"MyVoteSys <α=0.66, β=0.33, γ=0.80, First>",1.4333333333333333,0.78,0.0
"MyVoteSys <α=0.66, β=0.33, γ=____, MinEntropy>",1.4333333333333333,0.78,0.0
